"HOUSE-Finance Appropriations Governmental Affairs",,"HOUSE"
"SENATE-Oversight and Government Reform",,"SENATE"
"HOUSE-Judiciary",156,"HOUSE"
"HOUSE-Armed Services Meeting Jointly with Subcommittee on Asia and the Pacific of the Foreign Affairs [serial No. 113-137]",,"HOUSE"
"HOUSE-Ad Hoc Energy",,"HOUSE"
"SENATE-Transportation and Infrastructure United States",173,"SENATE"
"SENATE-Science and Technology United States",182,"SENATE"
"HOUSE-Library",,"JOINT"
"HOUSE-Governmental Affairs",,"HOUSE"
"HOUSE-Select Crime",,"HOUSE"
"HOUSE-Ethics",,"HOUSE"
"HOUSE-Public Lands",,"HOUSE"
"JOINT-Permanent Select Intelligence",242,"JOINT"
"SENATE-Judiciary ",358,"SENATE"
"HOUSE-Small Business ",184,"HOUSE"
"SENATE-Joint Economic Committee  ",,"JOINT"
"JOINT-Homeland Security",,"JOINT"
"JOINT-Select Intelligence",,"JOINT"
"HOUSE-Armed Service",106,"HOUSE"
"HOUSE-Health, Education, Labor, and Pensions",,"HOUSE"
"SENATE-United States Senate Caucus on International Narcotics Control",,"SENATE"
"SENATE-Intelligence",432,"SENATE"
"HOUSE-Select Intelligence",242,"HOUSE"
"HOUSE-Tax, Finance and Exports of the Small Business",,"HOUSE"
"HOUSE-Joint Economic Committee",,"JOINT"
"HOUSE-Armed Services Meeting Jointly with Subcommittee on Coast Guard and Maritime Transportation of the Transportation and Infrastructure [serial No. 114-10]",,"HOUSE"
"HOUSE-Banking and Financial Services",113,"HOUSE"
"HOUSE-Commission on Security and Cooperation in Europe",,"HOUSE"
"HOUSE-Committee On Natural Resources",164,"HOUSE"
"HOUSE-Congressional-Executive Commission on the People's Republic of China",,"JOINT"
"HOUSE-District of Columbia",120,"HOUSE"
"HOUSE-Economic and Educational Opportunities",124,"HOUSE"
"HOUSE-Education",124,"HOUSE"
"HOUSE-Government Reform and Oversight",138,"HOUSE"
"HOUSE-National Security",106,"HOUSE"
"HOUSE-Oversight",138,"HOUSE"
"HOUSE-Select Events Surrounding the 2012 Terrorist Attack in Benghazi",,"HOUSE"
"HOUSE-Select Small Business",184,"HOUSE"
"JOINT-Commission on Security and Cooperation in Europe",,"JOINT"
"JOINT-Energy and Natural Resources",,"JOINT"
"JOINT-Foreign Relations",,"JOINT"
"JOINT-Government Reform and Oversight",,"JOINT"
"JOINT-International Relations",,"JOINT"
"JOINT-Resources",,"JOINT"
"JOINT-The Helsinki Commission",,"JOINT"
"SENATE- Commerce, Science, and Transportation",321,"SENATE"
"SENATE-Commerce, Science and Transportation",321,"SENATE"
"SENATE-Health, Education, Labor and Pensions",362,"SENATE"
"SENATE-Natural Resources",330,"SENATE"
"SENATE-Permanent Select Intelligence",432,"SENATE"
"SENATE-Select Indian Affairs",435,"SENATE"
"SENATE-Small Business",384,"SENATE"
"SENATE-Committee on Natural Resources",,
"SENATE-Joint",507,"JOINT"
"SENATE-Health",362,"SENATE"
"HOUSE-Permanent Select Committee on Intelligence",242,"HOUSE"
"SENATE-Committee on Appropriations",306,"SENATE"
"HOUSE-Committee on Small Business",184,"HOUSE"
"SENATE-senate-budget",316,"SENATE"
"JOINT-Intelligence",,
"SENATE-Economic",507,"JOINT"
"SENATE- Aging",419,"SENATE"
"SENATE-Foreign",338,"SENATE"
"HOUSE-house-va",192,"HOUSE"
"HOUSE-Committee on Foreign Affairs",134,"HOUSE"
"HOUSE-smbusiness",184,"HOUSE"
"HOUSE-Administration",142,"HOUSE"
"HOUSE-The Budget",115,"HOUSE"
"SENATE-senate - armed services",308,"SENATE"
"JOINT-Transportation",,
"SENATE-senate-homeland",344,"SENATE"
"HOUSE-House-smbusiness",184,"HOUSE"
"HOUSE-joint-prcommission",,
"SENATE-senate-budget",316,"SENATE"
"HOUSE-Committee on Financial Services",113,"HOUSE"
"HOUSE-Select Committee on Intelligence",242,"HOUSE"
"HOUSE-Homeland",251,"HOUSE"
"HOUSE-Committee On Natural Resources",164,"HOUSE"
"HOUSE-Intelligence (Permanent)",242,"HOUSE"
"HOUSE-house - administration",142,"HOUSE"
"SENATE-senate - judiciary",358,"SENATE"
"JOINT-Education and the Workforce",,
"HOUSE-house-administration",142,"HOUSE"
"SENATE-Commerce",321,"SENATE"
"HOUSE-The Helsinki  Commission",,
"HOUSE-House-Armed Services",106,"HOUSE"
"HOUSE-Committee on Science and Technology",182,"HOUSE"
"SENATE-senate-aging",419,"SENATE"
"HOUSE-house-armed services",106,"HOUSE"
"SENATE-The Helsiniki Commission",,
"JOINT-Committee on Foreign Affairs",,
"HOUSE-HELP",,
"JOINT-Intelligence (Permanent)",,
"SENATE-Energy",330,"SENATE"
"SENATE-Homeland",344,"SENATE"
"SENATE-Senate-Commerce",321,"SENATE"
"HOUSE-Armed services",106,"HOUSE"
"SENATE-Joint Economic",507,"JOINT"
"SENATE-Homeland and Governmental Affairs",344,"SENATE"
"HOUSE-Benghazi",254,"HOUSE"
"HOUSE-Committee on Natural Resources",164,"HOUSE"
"SENATE-senate-commerce",321,"SENATE"
"HOUSE-Standards",186,"HOUSE"
"HOUSE-Transportation",173,"HOUSE"
"SENATE-joint-economic",507,"JOINT"
"HOUSE-Wmcommittee",,
"SENATE-Joint-Economic",507,"JOINT"
"SENATE-Committee on Agriculture, Nutrition, and Forestry",305,"SENATE"
"HOUSE-armedservices",106,"HOUSE"
"HOUSE-Committee on Armed Services",106,"HOUSE"
"HOUSE-Energy",128,"HOUSE"
"HOUSE-Committee on Homeland Security",251,"HOUSE"
"HOUSE-house-armedservices",106,"HOUSE"
"HOUSE-Committee on Science, Space, and Technology",182,"HOUSE"
"SENATE-Commerce",321,"SENATE"
"JOINT-The Helsinki Commission ",,
"SENATE-appropriations",306,"SENATE"
"SENATE-The Helsinki Commission",,
"HOUSE-Select Committee on Homeland Security ",251,"HOUSE"
"HOUSE-house-resources",164,"HOUSE"
"HOUSE-Energy Independence and Global",252,"HOUSE"
"SENATE-Budget Committee",316,"SENATE"
"HOUSE-The Helsinki Commission",,
"SENATE-Impeachment Trial (Nixon)",,
"SENATE-Senate Narcotics Caucus",,
"SENATE-Select Committee on Intelligence",432,"SENATE"
"SENATE-senate-health",362,"SENATE"
"SENATE-HELP",362,"SENATE"
"JOINT-Environment and Public Works",,
"SENATE-Economic ",507,"JOINT"
"HOUSE-Committee on Appropriations",104,"HOUSE"
"HOUSE-Commission on China ",,
"SENATE-Deficit Reduction",,
"JOINT-Small Business",,
"SENATE-Banking",314,"SENATE"
"SENATE-Joint Economic ",,
"HOUSE-house-agriculture",507,"JOINT"
"SENATE-senate - judiciary",358,"SENATE"
"SENATE-Senate Appropriations",306,"SENATE"
"SENATE-senate-intelligence",432,"SENATE"
"SENATE-Environment",332,"SENATE"
"HOUSE-house-armed services",308,"SENATE"
"HOUSE-Economic and Educational",124,"HOUSE"
"SENATE-Agriculture",305,"SENATE"
"SENATE-senate-va",388,"SENATE"
"JOINT-Homeland and Governmental Affairs",,
"HOUSE-Intrelations",134,"HOUSE"
"HOUSE-Committee on Veterans' Affairs",192,"HOUSE"
"HOUSE-Joint Library",500,"JOINT"
"SENATE-Senate-Budget",316,"SENATE"
"HOUSE-Crime",,
"HOUSE- Foreign Affairs",134,"HOUSE"
"SENATE-senate-environment",332,"SENATE"
"SENATE-Senate Narcotis Caucus",,
"HOUSE-House Oversight",134,"HOUSE"
"HOUSE-The Helsiniki Commission",,
"HOUSE-house-energy",128,"HOUSE"
"HOUSE-house-education",124,"HOUSE"
"SENATE-Committee on Finance",336,"SENATE"
"HOUSE-house-homeland",251,"HOUSE"
"HOUSE-Committee on Government Reform and Oversight",138,"HOUSE"
"SENATE-house-permintel",432,"SENATE"
"HOUSE-Energy (Ad Hoc)",128,"HOUSE"
"SENATE-Senate-Finance",336,"SENATE"
"HOUSE-Joint Economic",507,"HOUSE"
"HOUSE-house-govreform",138,"HOUSE"
"HOUSE-Committee on Transportation and Infrastructure",173,"HOUSE"
